link	language	language_short
https://en.wikipedia.org/wiki/Main_Page	4	4
https://en.wikipedia.org/wiki/Israeli%E2%80%93Palestinian_conflict	4	4
https://en.wikipedia.org/wiki/Israel%E2%80%93Hamas_war	4	4
https://en.wikipedia.org/wiki/Arab%E2%80%93Israeli_conflict	4	4
https://en.wikipedia.org/wiki/Israeli-occupied_territories	4	4
https://en.wikipedia.org/wiki/United_Nations_Office_for_the_Coordination_of_Humanitarian_Affairs	4	4
https://en.wikipedia.org/wiki/Template:Israeli-Palestinian_conflict_detailed_map	4	4
https://en.wikipedia.org/wiki/Occupied_Palestinian_Territory	4	4
https://en.wikipedia.org/wiki/Israeli%E2%80%93Palestinian_peace_process	4	4
https://en.wikipedia.org/wiki/Gaza%E2%80%93Israel_conflict	4	4
https://en.wikipedia.org/wiki/Occupation_of_the_Gaza_Strip_by_the_United_Arab_Republic	4	4
https://en.wikipedia.org/wiki/All-Palestine_Protectorate	4	4
https://en.wikipedia.org/wiki/Jordanian_annexation_of_the_West_Bank	4	4
https://en.wikipedia.org/wiki/Israeli_disengagement_from_Gaza	4	4
https://en.wikipedia.org/wiki/Israeli_occupation_of_the_West_Bank	4	4
https://en.wikipedia.org/wiki/Israeli_settlements	4	4
https://en.wikipedia.org/wiki/West_Bank_Areas_in_the_Oslo_II_Accord	4	4
https://en.wikipedia.org/wiki/Israel	4	4
https://en.wikipedia.org/wiki/Palestine_Liberation_Organization	4	4
https://en.wikipedia.org/wiki/Palestinian_National_Authority	4	4
https://en.wikipedia.org/wiki/Fatah	4	4
https://en.wikipedia.org/wiki/Palestinian_enclaves	4	4
https://en.wikipedia.org/wiki/Hamas	4	4
https://en.wikipedia.org/wiki/Governance_of_the_Gaza_Strip	4	4
https://en.wikipedia.org/wiki/Nakba	4	4
https://en.wikipedia.org/wiki/Six-Day_War	4	4
https://en.wikipedia.org/wiki/1948_Arab%E2%80%93Israeli_War	4	4
https://en.wikipedia.org/wiki/PLO	4	4
https://en.wikipedia.org/wiki/1982_Lebanon_War	4	4
https://en.wikipedia.org/wiki/First_Intifada	4	4
https://en.wikipedia.org/wiki/Second_Intifada	4	4
https://en.wikipedia.org/wiki/2006_Gaza%E2%80%93Israel_conflict	4	4
https://en.wikipedia.org/wiki/Gaza_War_(2008%E2%80%932009)	4	4
https://en.wikipedia.org/wiki/2014_Gaza_War	4	4
https://en.wikipedia.org/wiki/2021_Israel%E2%80%93Palestine_crisis	4	4
https://en.wikipedia.org/wiki/Territory	4	4
https://en.wikipedia.org/wiki/Self-determination	4	4
https://en.wikipedia.org/wiki/Mandatory_Palestine	4	4
https://en.wikipedia.org/wiki/Gaza_Strip	4	4
https://en.wikipedia.org/wiki/Status_of_Jerusalem	4	4
https://en.wikipedia.org/wiki/Israeli_settlement	4	4
https://en.wikipedia.org/wiki/Israeli_permit_regime_in_the_West_Bank	4	4
https://en.wikipedia.org/wiki/Palestinian_freedom_of_movement	4	4
https://en.wikipedia.org/wiki/Palestinian_right_of_return	4	4
https://en.wikipedia.org/wiki/Zionism	4	4
https://en.wikipedia.org/wiki/Aliyah	4	4
https://en.wikipedia.org/wiki/Balfour_Declaration	4	4
https://en.wikipedia.org/wiki/Homeland_for_the_Jewish_people	4	4
https://en.wikipedia.org/wiki/Palestine_(region)	4	4
https://en.wikipedia.org/wiki/Ottoman_Empire	4	4
https://en.wikipedia.org/wiki/World_War_I	4	4
https://en.wikipedia.org/wiki/Mandate_for_Palestine	4	4
https://en.wikipedia.org/wiki/Intercommunal_conflict_in_Mandatory_Palestine	4	4
https://en.wikipedia.org/wiki/1936%E2%80%931939_Arab_revolt_in_Palestine	4	4
https://en.wikipedia.org/wiki/United_Nations_Partition_Plan_for_Palestine	4	4
https://en.wikipedia.org/wiki/1948_Palestine_war	4	4
https://en.wikipedia.org/wiki/1948_Palestinian_expulsion_and_flight	4	4
