nchar	israel	israeli	palestine	palestinian	arab	gaza	intifada	jewish	zionism	hamas	language	total	totalperchar	link
1948	0	0	0	0	0	0	0	0	0	0	4	0	0	https://en.wikipedia.org/wiki/Main_Page
81555	325	162	62	261	85	79	8	55	7	36	4	1080	0.0132425970204157	https://en.wikipedia.org/wiki/Israeli%E2%80%93Palestinian_conflict
86446	373	162	7	124	18	146	3	2	0	146	4	981	0.0113481248409412	https://en.wikipedia.org/wiki/Israel%E2%80%93Hamas_war
40517	184	67	28	61	101	26	5	35	4	21	4	532	0.0131302909889676	https://en.wikipedia.org/wiki/Arab%E2%80%93Israeli_conflict
51485	256	106	12	56	14	44	0	6	2	6	4	502	0.00975041274157522	https://en.wikipedia.org/wiki/Israeli-occupied_territories
3504	0	0	0	1	0	0	0	0	0	0	4	1	0.000285388127853881	https://en.wikipedia.org/wiki/United_Nations_Office_for_the_Coordination_of_Humanitarian_Affairs
1893	1	1	0	1	0	0	0	0	0	0	4	3	0.00158478605388273	https://en.wikipedia.org/wiki/Template:Israeli-Palestinian_conflict_detailed_map
43473	149	55	62	105	29	70	3	13	0	17	4	503	0.0115704000184022	https://en.wikipedia.org/wiki/Occupied_Palestinian_Territory
43190	182	77	8	154	14	20	1	14	1	24	4	495	0.0114609863394304	https://en.wikipedia.org/wiki/Israeli%E2%80%93Palestinian_peace_process
37163	228	84	2	96	11	141	8	3	0	55	4	628	0.0168985281059118	https://en.wikipedia.org/wiki/Gaza%E2%80%93Israel_conflict
8146	26	15	16	10	19	24	0	1	0	0	4	111	0.0136263196660938	https://en.wikipedia.org/wiki/Occupation_of_the_Gaza_Strip_by_the_United_Arab_Republic
11085	11	7	47	19	34	33	0	2	0	0	4	153	0.0138024357239513	https://en.wikipedia.org/wiki/All-Palestine_Protectorate
14983	23	8	23	22	32	3	0	11	0	0	4	122	0.00814256156977908	https://en.wikipedia.org/wiki/Jordanian_annexation_of_the_West_Bank
56922	140	74	1	52	3	98	0	10	0	12	4	390	0.00685148097396437	https://en.wikipedia.org/wiki/Israeli_disengagement_from_Gaza
122618	408	195	11	267	28	18	14	35	1	3	4	980	0.00799230129344794	https://en.wikipedia.org/wiki/Israeli_occupation_of_the_West_Bank
84156	359	203	11	169	13	35	0	26	1	1	4	818	0.00972004372831408	https://en.wikipedia.org/wiki/Israeli_settlements
12692	40	25	0	46	0	2	1	2	0	0	4	116	0.00913961550583044	https://en.wikipedia.org/wiki/West_Bank_Areas_in_the_Oslo_II_Accord
99825	521	175	36	53	106	34	7	95	4	6	4	1037	0.0103881793137991	https://en.wikipedia.org/wiki/Israel
30933	58	22	33	91	13	10	6	4	1	7	4	245	0.00792034396922381	https://en.wikipedia.org/wiki/Palestine_Liberation_Organization
59794	95	43	32	229	18	68	6	0	0	68	4	559	0.00934876409004248	https://en.wikipedia.org/wiki/Palestinian_National_Authority
21712	27	13	8	39	10	6	3	2	0	8	4	116	0.00534266764922623	https://en.wikipedia.org/wiki/Fatah
44356	105	69	9	114	5	9	3	12	0	2	4	328	0.00739471548381279	https://en.wikipedia.org/wiki/Palestinian_enclaves
128820	333	131	34	237	48	141	15	12	3	568	4	1522	0.011814935569011	https://en.wikipedia.org/wiki/Hamas
29164	54	13	3	52	4	113	0	0	0	127	4	366	0.012549718831436	https://en.wikipedia.org/wiki/Governance_of_the_Gaza_Strip
31601	92	36	27	124	60	11	2	19	1	2	4	374	0.0118350685104902	https://en.wikipedia.org/wiki/Nakba
90450	360	256	3	9	42	19	0	14	1	0	4	704	0.00778330569375345	https://en.wikipedia.org/wiki/Six-Day_War
104875	267	172	56	76	257	12	2	82	6	0	4	930	0.00886769964243147	https://en.wikipedia.org/wiki/1948_Arab%E2%80%93Israeli_War
30933	58	22	33	91	13	10	6	4	1	7	4	245	0.00792034396922381	https://en.wikipedia.org/wiki/PLO
68617	296	215	2	42	4	2	0	0	0	0	4	561	0.00817581648862527	https://en.wikipedia.org/wiki/1982_Lebanon_War
23054	97	62	3	68	7	26	31	2	0	2	4	298	0.0129261733321766	https://en.wikipedia.org/wiki/First_Intifada
82638	333	231	7	270	27	53	53	5	0	38	4	1017	0.0123066869962971	https://en.wikipedia.org/wiki/Second_Intifada
23549	103	51	1	46	0	59	0	2	0	36	4	298	0.0126544651577562	https://en.wikipedia.org/wiki/2006_Gaza%E2%80%93Israel_conflict
133374	474	256	5	132	26	269	3	5	0	269	4	1439	0.0107892092911662	https://en.wikipedia.org/wiki/Gaza_War_(2008%E2%80%932009)
110062	358	164	4	126	20	225	5	6	0	229	4	1137	0.0103305409678181	https://en.wikipedia.org/wiki/2014_Gaza_War
59900	264	144	4	116	35	63	0	32	0	77	4	735	0.0122704507512521	https://en.wikipedia.org/wiki/2021_Israel%E2%80%93Palestine_crisis
1509	0	0	0	0	0	0	0	0	0	0	4	0	0	https://en.wikipedia.org/wiki/Territory
71038	2	0	3	3	3	0	0	1	1	0	4	13	0.000183000647540753	https://en.wikipedia.org/wiki/Self-determination
64867	22	7	132	39	142	6	0	132	4	0	4	484	0.00746142106155672	https://en.wikipedia.org/wiki/Mandatory_Palestine
78124	310	137	21	110	25	307	11	3	0	82	4	1006	0.0128769648251498	https://en.wikipedia.org/wiki/Gaza_Strip
35325	103	31	36	37	24	2	1	12	0	1	4	247	0.00699221514508139	https://en.wikipedia.org/wiki/Status_of_Jerusalem
84156	359	203	11	169	13	35	0	26	1	1	4	818	0.00972004372831408	https://en.wikipedia.org/wiki/Israeli_settlement
25501	91	39	1	80	1	15	6	1	0	0	4	234	0.00917611074075526	https://en.wikipedia.org/wiki/Israeli_permit_regime_in_the_West_Bank
27905	128	50	0	91	0	50	11	1	0	6	4	337	0.0120766887654542	https://en.wikipedia.org/wiki/Palestinian_freedom_of_movement
31643	97	31	10	94	56	4	1	6	0	1	4	300	0.00948076983851089	https://en.wikipedia.org/wiki/Palestinian_right_of_return
79284	133	37	78	30	59	2	0	168	135	1	4	643	0.00811008526310479	https://en.wikipedia.org/wiki/Zionism
48701	163	29	35	3	13	0	1	98	4	0	4	346	0.0071045769080717	https://en.wikipedia.org/wiki/Aliyah
84794	11	3	149	8	48	2	0	140	28	0	4	389	0.00458758874448664	https://en.wikipedia.org/wiki/Balfour_Declaration
12875	24	6	21	2	7	0	0	62	7	0	4	129	0.0100194174757282	https://en.wikipedia.org/wiki/Homeland_for_the_Jewish_people
33026	36	10	85	24	30	12	3	17	1	0	4	218	0.00660085992854115	https://en.wikipedia.org/wiki/Palestine_(region)
98642	2	2	0	0	31	0	0	1	0	0	4	36	0.000364956103890838	https://en.wikipedia.org/wiki/Ottoman_Empire
92641	0	0	3	0	12	1	0	0	0	0	4	16	0.00017270970736499	https://en.wikipedia.org/wiki/World_War_I
60349	13	5	125	15	49	1	0	39	4	0	4	251	0.00415914099653681	https://en.wikipedia.org/wiki/Mandate_for_Palestine
57975	20	5	94	76	196	0	0	125	44	0	4	560	0.00965933592065545	https://en.wikipedia.org/wiki/Intercommunal_conflict_in_Mandatory_Palestine
79629	4	3	75	48	174	0	0	96	2	0	4	402	0.00504841201069962	https://en.wikipedia.org/wiki/1936%E2%80%931939_Arab_revolt_in_Palestine
38612	4	1	65	22	101	2	0	89	3	0	4	287	0.0074329224075417	https://en.wikipedia.org/wiki/United_Nations_Partition_Plan_for_Palestine
36072	78	41	38	48	112	5	2	43	6	0	4	373	0.0103404302506099	https://en.wikipedia.org/wiki/1948_Palestine_war
54817	122	69	24	92	107	3	1	45	1	0	4	464	0.00846452742762282	https://en.wikipedia.org/wiki/1948_Palestinian_expulsion_and_flight
89280	30	9	1	1	70	6	0	2	0	2	4	121	0.00135528673835125	https://en.wikipedia.org/wiki/Egypt
43473	149	55	62	105	29	70	3	13	0	17	4	503	0.0115704000184022	https://en.wikipedia.org/wiki/Palestinian_territories
768	0	0	0	0	0	0	0	0	0	0	4	0	0	https://en.wikipedia.org/wiki/List_of_military_occupations
2157	8	2	0	2	1	0	0	0	0	0	4	13	0.00602688919796013	https://en.wikipedia.org/wiki/List_of_United_Nations_resolutions_concerning_Israel
76405	262	123	4	201	16	14	9	17	0	3	4	649	0.00849420849420849	https://en.wikipedia.org/wiki/Human_rights_violations_against_Palestinians_by_Israel
9694	99	76	1	44	7	12	3	0	0	11	4	253	0.0260986177016711	https://en.wikipedia.org/wiki/Timeline_of_the_Israeli%E2%80%93Palestinian_conflict
2440	11	3	0	0	1	0	0	0	0	0	4	15	0.00614754098360656	https://en.wikipedia.org/wiki/Israeli_government
29545	108	50	3	87	4	27	5	2	0	5	4	291	0.0098493822981892	https://en.wikipedia.org/wiki/Oslo_Accords
25505	78	41	22	62	25	12	3	12	0	10	4	265	0.0103901195843952	https://en.wikipedia.org/wiki/Two-state_solution
82875	124	52	181	214	39	73	7	30	1	20	4	741	0.00894117647058824	https://en.wikipedia.org/wiki/State_of_Palestine
63148	376	193	11	21	72	2	2	177	4	0	4	858	0.0135871286501552	https://en.wikipedia.org/wiki/Israeli_Jews
68357	84	38	99	318	151	19	5	26	8	0	4	748	0.0109425516040786	https://en.wikipedia.org/wiki/Palestinians
8021	19	8	1	20	0	1	1	0	0	2	4	52	0.00648298217179903	https://en.wikipedia.org/wiki/Quartet_on_the_Middle_East
59237	6	2	2	1	2	0	0	0	1	0	4	14	0.000236338774752266	https://en.wikipedia.org/wiki/United_Nations
